"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"86","Chimes","1144061856$21.03%1.14b","22.52%","667","73","99.40%","2,434,122.4",""
"79","Kratik","1104897098$20.31%1.10b","36.03%","666","58","99.74%","2,350,794.9",""
"40","Therzsham","891273282$16.38%891.27m","28.81%","663","28","99.45%","1,896,285.8",""
"44","Acupuncher","882214265$16.21%882.21m","31.00%","667","22","99.82%","1,877,011.7",""
"88","Nixis","351182502$6.45%351.18m","26.24%","666","85","99.83%","747,180.9",""
"77","Kornbreadd","214237524$3.94%214.24m","21.17%","660","76","98.98%","455,814.8",""
"80","Chuckleduck","127143206$2.34%127.14m","50.27%","655","85","95.00%","270,511.7",""
"79","Biglick","105751815$1.94%105.75m","24.73%","661","77","99.18%","224,999.1",""
"81","Rippermcgoo","102165881$1.88%102.17m","29.80%","666","77","98.75%","217,369.6",""
"60","Blardy","91306196$1.68%91.31m","2.24%","652","71","92.01%","194,264.4",""
"78","Drbuttpus","84243933$1.55%84.24m","20.37%","663","75","88.83%","179,238.6",""
"49","Jëongyeon","83097544$1.53%83.10m","11.85%","662","47","89.11%","176,799.5",""
"19","Nitroburger","74570678$1.37%74.57m","54.33%","657","15","82.91%","158,657.6",""
"57","Illing","63188510$1.16%63.19m","10.36%","667","48","93.20%","134,440.8",""
"54","Aingg","40303803$0.74%40.30m","16.82%","658","62","28.04%","85,750.9",""
"41","Toshunt","29667434$0.55%29.67m","53.87%","669","39*","75.16%","63,120.9",""
"50","Doomslugg","28784064$0.53%28.78m","68.80%","651","62","87.75%","61,241.4",""
"17","Fyaball","22704529$0.42%22.70m","28.09%","667","15","7.59%","48,306.5",""
