"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"83","Vulperiest","1937059468$17.36%1.94b","46.95%","606","90","98.61%","869,031.7",""
"52","Kratik","1564414963$14.02%1.56b","35.46%","-","56","99.31%","701,850.5",""
"62","Bababryn","1558112126$13.96%1.56b","39.72%","608","65","99.83%","699,022.8",""
"63","Thilinox","1502187459$13.46%1.50b","47.07%","607","72","99.80%","673,933.1",""
"31","Buurny","1103844742$9.89%1.10b","44.47%","-","32","99.55%","495,222.8",""
"27","Ampox","647436484$5.80%647.44m","45.21%","610","34","96.46%","290,462.3",""
"46","Shadiaw","386540948$3.46%386.54m","65.26%","-","58","90.44%","173,415.6",""
"33","Boomslugg","374255205$3.35%374.26m","35.25%","-","46","99.71%","167,903.8",""
"52","Zenatreshan","154238171$1.38%154.24m","32.53%","-","64","78.36%","69,196.6",""
"39","Blardy","145606626$1.30%145.61m","4.77%","-","51","86.56%","65,324.2",""
"38","Jëongyeon","144105727$1.29%144.11m","10.13%","607","49","76.94%","64,650.8",""
"44","Illing","143507839$1.29%143.51m","44.32%","610","48","73.11%","64,382.6",""
"38","Rasmog","135414004$1.21%135.41m","74.60%","601","44","77.39%","60,751.4",""
"43","Chuckleduck","131132620$1.17%131.13m","23.50%","607","48","60.17%","58,830.6",""
"49","Toshunt","121172853$1.09%121.17m","26.53%","613","52","71.68%","54,362.3",""
"35","Rippermcgoo","118200578$1.06%118.20m","46.95%","605","43","77.32%","53,028.9",""
"39","Whatthemonke","117447258$1.05%117.45m","37.63%","-","48","83.23%","52,690.9",""
"44","Froginasock","114551991$1.03%114.55m","70.46%","607","52","63.79%","51,392.0",""
"58","Rengos","101625794$0.91%101.63m","11.92%","611","64","64.69%","45,592.8",""
"23","Rdzx","100413754$0.90%100.41m","34.75%","606","28","75.92%","45,049.1",""
"12","Snognazzy","97381291$0.87%97.38m","1.44%","-","17","72.24%","43,688.6",""
"33","Lorethian","90336286$0.81%90.34m","28.05%","608","47","85.72%","40,528.0",""
"27","Luciá","84182462$0.75%84.18m","26.56%","-","39","72.50%","37,767.2",""
"25","Crusados","76438623$0.68%76.44m","35.29%","606","40","78.41%","34,293.0",""
"32","Gadzoonia","66033964$0.59%66.03m","15.47%","605","40","59.83%","29,625.1",""
"24","Fiernastraza","65310541$0.59%65.31m","31.24%","606","30","78.41%","29,300.6",""
"15","Piron","48127570$0.43%48.13m","38.13%","-","22","69.47%","21,591.7",""
"18","Therzsham","32101710$0.29%32.10m","4.12%","606","24","5.89%","14,401.9",""
"-","Treant","14424$0.00%14.4k","56.65%","-","-","0.00%","6.5",""
