"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"48","Thilinox","253432922$16.97%253.43m","0","624","62","90","874141",""
"53","Kratik","222018290$14.87%222.02m","0","635","68","90","1057850",""
"59","Chimes","183782448$12.31%183.78m","0","627","71","90","1008531",""
"19","Acupuncher","171721856$11.50%171.72m","0","625","30","90","723643",""
"22","Umbramist","168944141$11.31%168.94m","0","627","35","90","750586",""
"37","Rawbdog","92673612$6.21%92.67m","0","604","40","90","322249",""
"69","Nixis","67576440$4.53%67.58m","0","628","73","90","283959",""
"30","Kornbreadd","65081018$4.36%65.08m","0","623","35","90","191727",""
"53","Froginasock","31932753$2.14%31.93m","0","632","62","90","144846",""
"26","Krrn","27684435$1.85%27.68m","0","627","35","90","87829",""
"38","Quarm","26155822$1.75%26.16m","0","625","50","90","95380",""
"70","Illing","22688486$1.52%22.69m","0","628","76","90","97720",""
"66","Litlam","20318354$1.36%20.32m","0","633","72","90","84488",""
"26","Chuckleduck","20312327$1.36%20.31m","0","626","32","90","56556",""
"55","Kusri","18530183$1.24%18.53m","0","624","63","90","81633",""
"25","Rippermcgoo","18185847$1.22%18.19m","0","631","33","90","73146",""
"17","Nitroburger","16756476$1.12%16.76m","0","631","25","90","94420",""
"50","Toshunt","15402453$1.03%15.40m","0","634","58","90","81366",""
"90","Kamalabiden","12787909$0.86%12.79m","0","619","90","90","67924",""
"52","Ampok","11312841$0.76%11.31m","0","620","55","90","37491",""
"29","Biglick","8835980$0.59%8.84m","0","633","40","90","89599",""
"21","Shiversting","7596049$0.51%7.60m","0","622","24","90","41197",""
"27","Therzsham","7042377$0.47%7.04m","0","627","30","90","22385",""
"3","Aingg","1664292$0.11%1.66m","0","623","6","90","9544",""
"42","Bababryn","735962$0.05%736.0k","0","627","49","90","66543",""
"48","Jëongyeon","49986444$1.79%49.99m","0","626","60","90","108879",""
