"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"84","Vulperiest","2003711563$17.98%2.00b","39.74%","614","87","98.39%","1,129,014.4",""
"61","Kratik","1666569915$14.95%1.67b","28.53%","-","63","98.94%","939,048.1",""
"65","Thilinox","1629014874$14.62%1.63b","40.55%","-","62","96.16%","917,887.2",""
"43","Bababryn","1381498481$12.39%1.38b","38.72%","613","44","99.89%","778,421.3",""
"24","Buurny","1060253750$9.51%1.06b","44.52%","611","19","98.01%","597,412.2",""
"33","Ampox","731859881$6.57%731.86m","38.60%","-","39","94.34%","412,374.9",""
"19","Boomslugg","358107562$3.21%358.11m","33.26%","-","25","99.81%","201,779.8",""
"29","Shadiaw","332296233$2.98%332.30m","59.01%","-","39","91.81%","187,236.1",""
"57","Rippermcgoo","161516567$1.45%161.52m","34.77%","-","63","82.74%","91,008.4",""
"51","Zenatreshan","156498068$1.40%156.50m","19.34%","614","54","89.64%","88,180.6",""
"53","Illing","147476368$1.32%147.48m","42.43%","616","60","83.00%","83,097.3",""
"74","Kornflakz","144152978$1.29%144.15m","12.02%","612","77","22.25%","81,224.7",""
"79","Toshunt","136556084$1.23%136.56m","25.95%","617","83","82.43%","76,944.1",""
"46","Kalatheia","135995243$1.22%136.00m","9.17%","611","52","71.95%","76,628.1",""
"61","Whatthemonke","134831749$1.21%134.83m","30.58%","611","74","90.99%","75,972.5",""
"33","Jëongyeon","124445014$1.12%124.45m","7.00%","614","37","77.68%","70,120.0",""
"44","Froginasock","115855031$1.04%115.86m","66.15%","613","55","63.66%","65,279.9",""
"49","Smegolas","112868535$1.01%112.87m","37.02%","611","55","81.00%","63,597.1",""
"40","Lorethian","94110719$0.84%94.11m","29.41%","-","51","86.20%","53,027.8",""
"47","Mickdundey","85668637$0.77%85.67m","8.29%","614","54","76.98%","48,271.0",""
"64","Kamalabiden","84148578$0.75%84.15m","73.26%","604","77","77.38%","47,414.5",""
"28","Kiikah","84141527$0.75%84.14m","18.16%","614","32","58.07%","47,410.5",""
"43","Gadzoonia","75772457$0.68%75.77m","13.91%","-","59","68.47%","42,694.9",""
"37","Fiernastraza","57368099$0.51%57.37m","25.69%","-","45","70.52%","32,324.7",""
"17","Crusados","56918820$0.51%56.92m","38.93%","612","27","82.98%","32,071.6",""
"15","Piron","42769572$0.38%42.77m","33.03%","605","22","68.14%","24,099.0",""
"17","Therzsham","31276450$0.28%31.28m","7.38%","612","21","10.28%","17,623.1",""
