"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"79","Vulperiest","1364990912$16.41%1.36b","52.63%","-","86","97.71%","726,357.3",""
"60","Kratik","1189769389$14.30%1.19b","35.73%","600","66","99.06%","633,116.0",""
"69","Bababryn","1169123112$14.06%1.17b","42.87%","603","73","99.76%","622,129.5",""
"72","Thilinox","1109105735$13.33%1.11b","46.51%","-","79","98.88%","590,192.2",""
"11","Buurny","545453261$6.56%545.45m","46.95%","-","17","99.18%","290,253.9",""
"26","Ampox","437176283$5.26%437.18m","44.60%","-","34","94.95%","232,636.1",""
"70","Shadiaw","353525089$4.25%353.53m","70.17%","598","81","96.66%","188,122.5",""
"43","Boomslugg","268080635$3.22%268.08m","30.15%","596","53","99.52%","142,654.7",""
"17","Therzsham","259666964$3.12%259.67m","25.72%","-","21","44.15%","138,177.5",""
"61","Djbuttblastr","126010987$1.51%126.01m","16.82%","600","69","90.59%","67,054.7",""
"57","Jëongyeon","122342033$1.47%122.34m","16.09%","600","63","89.69%","65,102.3",""
"50","Froginasock","110210461$1.32%110.21m","72.34%","600","61","97.48%","58,646.7",""
"57","Rippermcgoo","109659110$1.32%109.66m","46.89%","-","66","97.80%","58,353.3",""
"63","Kornflakz","102434226$1.23%102.43m","7.26%","-","68","20.72%","54,508.7",""
"50","Illing","98082801$1.18%98.08m","57.01%","603","60","94.64%","52,193.1",""
"42","Blardy","97362220$1.17%97.36m","2.59%","-","54","80.44%","51,809.7",""
"34","Snognazzy","91611442$1.10%91.61m","3.63%","-","42","85.68%","48,749.5",""
"59","Toshunt","91163020$1.10%91.16m","7.07%","606","64","77.06%","48,510.9",""
"49","Whatthemonke","88998154$1.07%89.00m","43.99%","-","58","87.53%","47,358.9",""
"56","Rengos","77531559$0.93%77.53m","2.51%","605","61","67.65%","41,257.1",""
"31","Rasmog","72137146$0.87%72.14m","83.94%","597","38","81.92%","38,386.6",""
"16","Rdzx","63300977$0.76%63.30m","45.53%","602","19","86.88%","33,684.6",""
"24","Chuckleduck","59438312$0.71%59.44m","38.48%","-","31","66.79%","31,629.1",""
"43","Luciá","59382419$0.71%59.38m","42.63%","-","53","74.74%","31,599.4",""
"36","Crusados","51738919$0.62%51.74m","43.23%","585","41","52.17%","27,532.0",""
"40","Gadzoonia","51537916$0.62%51.54m","14.14%","595","49","67.44%","27,425.0",""
"54","Zenatreshan","42059820$0.51%42.06m","21.62%","586","74","30.95%","22,381.4",""
"27","Fiernastraza","38999040$0.47%39.00m","38.08%","596","35","36.22%","20,752.7",""
"40","Whabby","38388325$0.46%38.39m","76.34%","596","49","25.79%","20,427.7",""
"18","Piron","28784613$0.35%28.78m","47.16%","590","21","34.12%","15,317.3",""
