"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"80","Vulperiest","2390841209$16.73%2.39b","40.12%","-","79","96.94%","1,101,446.3",""
"58","Kratik","1953422829$13.67%1.95b","33.35%","616","58","99.02%","899,930.3",""
"67","Thilinox","1934647180$13.54%1.93b","45.11%","619","55","99.84%","891,280.4",""
"60","Bababryn","1880935804$13.16%1.88b","40.32%","615","60","99.87%","866,535.9",""
"19","Buurny","1221522314$8.55%1.22b","47.60%","612","15","98.31%","562,748.1",""
"29","Ampox","887834193$6.21%887.83m","40.85%","616","39","95.23%","409,019.9",""
"19","Therzdk","777537855$5.44%777.54m","29.77%","605","26","83.16%","358,207.1",""
"36","Shadiaw","373363027$2.61%373.36m","64.38%","-","42","76.58%","172,006.1",""
"60","Zenatreshan","211301078$1.48%211.30m","21.87%","617","60","87.76%","97,345.1",""
"60","Illing","208084594$1.46%208.08m","39.87%","-","66","90.18%","95,863.3",""
"49","Kalatheia","198796666$1.39%198.80m","12.33%","-","55","86.37%","91,584.4",""
"39","Jëongyeon","193201867$1.35%193.20m","10.72%","617","43","87.11%","89,006.9",""
"81","Toshunt","176180816$1.23%176.18m","23.18%","622","86","73.29%","81,165.5",""
"67","Kornflakz","174706666$1.22%174.71m","13.96%","-","73","20.76%","80,486.3",""
"47","Rippermcgoo","173499109$1.21%173.50m","44.93%","616","57","98.23%","79,930.0",""
"35","Rasmog","164712126$1.15%164.71m","40.96%","-","43","90.26%","75,881.9",""
"50","Whatthemonke","148386576$1.04%148.39m","31.95%","613","61","88.72%","68,360.8",""
"40","Chuckleduck","137653792$0.96%137.65m","32.65%","611","48","67.22%","63,416.3",""
"50","Mickdundey","133317428$0.93%133.32m","3.87%","616","58","75.16%","61,418.5",""
"23","Kiikah","132211550$0.93%132.21m","42.00%","617","27","84.95%","60,909.1",""
"41","Luciá","121063589$0.85%121.06m","26.61%","-","58","89.12%","55,773.3",""
"32","Froginasock","121018792$0.85%121.02m","67.13%","617","36","59.23%","55,752.6",""
"42","Lorethian","114373589$0.80%114.37m","32.40%","617","53","71.12%","52,691.2",""
"37","Piron","109090242$0.76%109.09m","32.50%","-","55","73.66%","50,257.2",""
"23","Deathpocketz","108659212$0.76%108.66m","37.59%","611","28","85.77%","50,058.7",""
"47","Fiernastraza","95114053$0.67%95.11m","23.34%","613","56","68.78%","43,818.5",""
"20","Crusados","82026700$0.57%82.03m","33.60%","612","33","85.52%","37,789.2",""
"12","Drazdh","64055075$0.45%64.06m","67.67%","-","32","45.00%","29,509.8",""
