"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"77","Chimes","3814166616$26.72%3.81b","33.33%","663","60","99.21%","1,870,755.1",""
"60","Kratik","3595516572$25.19%3.60b","39.60%","662","47","98.97%","1,763,512.6",""
"41","Acupuncher","3090312286$21.65%3.09b","35.18%","665","21","97.27%","1,515,722.3",""
"72","Nixis","946496170$6.63%946.50m","33.78%","664","77","98.52%","464,233.1",""
"22","Umbramist","525979795$3.68%525.98m","42.64%","-","22","59.85%","257,980.2",""
"63","Illing","469276167$3.29%469.28m","14.14%","-","63","83.58%","230,168.4",""
"57","Kornbreadd","408917453$2.86%408.92m","24.21%","654","58","57.73%","200,564.0",""
"98","Therzsham","327544180$2.29%327.54m","33.88%","655","99","95.52%","160,652.4",""
"48","Jëongyeon","300261025$2.10%300.26m","13.36%","657","49","82.47%","147,270.7",""
"38","Biglick","266442792$1.87%266.44m","24.95%","656","41","82.67%","130,683.7",""
"4","Nitrotaco","129379445$0.91%129.38m","28.34%","-","6","59.92%","63,457.4",""
"38","Nitroburger","122600697$0.86%122.60m","53.94%","-","43","31.00%","60,132.6",""
"24","Aingg","83814056$0.59%83.81m","8.71%","656","29","13.27%","41,108.7",""
"12","Toshunt","73188689$0.51%73.19m","53.48%","665","29","77.51%","35,897.3",""
"25","Doomslugg","62031090$0.43%62.03m","66.97%","643","31","62.36%","30,424.7",""
"11","Fyaball","60307485$0.42%60.31m","9.89%","663","20","2.61%","29,579.3",""
