"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"90","Chimes","2575986818$20.60%2.58b","29.83%","653","82","99.60%","1,785,920.6",""
"58","Kratik","2213728974$17.70%2.21b","34.29%","-","42","99.37%","1,534,768.8",""
"53","Acupuncher","2077648542$16.62%2.08b","34.85%","656","29","99.85%","1,440,424.8",""
"36","Umbramist","1865132668$14.92%1.87b","34.70%","647","38","98.54%","1,293,088.4",""
"89","Nixis","617311216$4.94%617.31m","26.51%","655","88","99.79%","427,979.2",""
"61","Kornbreadd","498754718$3.99%498.75m","20.37%","648","62","91.73%","345,784.5",""
"61","Froginasock","302774184$2.42%302.77m","61.99%","650","63","80.48%","209,912.0",""
"50","Nitroburger","301026067$2.41%301.03m","53.35%","-","52","94.71%","208,700.1",""
"80","Jekter","280536668$2.24%280.54m","15.61%","648","79","90.06%","194,494.9",""
"81","Illing","222966793$1.78%222.97m","17.13%","655","80","91.71%","154,581.9",""
"17","Drazdh","217695483$1.74%217.70m","61.88%","-","18","81.95%","150,927.3",""
"41","Biglick","204161645$1.63%204.16m","19.27%","649","42","99.16%","141,544.4",""
"40","Rippermcgoo","188746924$1.51%188.75m","28.26%","650","41","92.44%","130,857.4",""
"17","Djbuttblastr","165026135$1.32%165.03m","6.38%","646","18","97.46%","114,411.9",""
"42","Shiversting","139641262$1.12%139.64m","16.28%","648","43","87.79%","96,812.7",""
"31","Chuckleduck","135042537$1.08%135.04m","24.28%","640","37","86.39%","93,624.4",""
"25","Toshunt","115782612$0.93%115.78m","30.67%","656","22","91.70%","80,271.6",""
"23","Quarm","112879324$0.90%112.88m","7.86%","644","27","55.04%","78,258.7",""
"45","Litlam","102294800$0.82%102.29m","30.86%","655","51","98.48%","70,920.5",""
"87","Kamalabiden","80601479$0.64%80.60m","39.47%","630","93","66.72%","55,880.7",""
"34","Therzsham","60738001$0.49%60.74m","13.55%","-","35","47.18%","42,109.4",""
"63","Aingg","24993585$0.20%24.99m","1.77%","643","70","5.21%","17,327.9",""
