Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,
21,Therzsham,233758774$5.09%233.76m,627,40,90,862623,
13,Therzsham,1437634378$4.16%1.44b,-,17,95.79%,"996,705.7",
36,Therzsham,371527276$6.69%371.53m,644,56,90,1347514,
30,Therzsham,2851627882$7.82%2.85b,655,22,96.18%,"1,398,653.5",
39,Therzsham,27369588$0.24%27.37m,663,35,37.64%,"58,231.9",
