Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,
13,Kornbreadd,130425118$2.84%130.43m,625,25,90,454338,
18,Kornbreadd,880247975$2.55%880.25m,648,10,93.87%,"610,272.1",
36,Kornbreadd,202553700$3.65%202.55m,651,33,90,805257,
34,Kornbreadd,1001648629$2.75%1.00b,654,27,58.40%,"491,284.1",
24,Kornbreadd,1606101289$4.16%1.61b,-,21,96.57%,"715,367.0",
34,Kornbreadd,414149734$3.57%414.15m,660,24,99.82%,"881,150.9",
