Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,
19,Umbramist,43705437$0.95%43.71m,642,27,90,184133,
35,Umbramist,44675387$1.06%44.68m,642,29,90,264501,
13,Umbramist,284020482$0.82%284.02m,647,12,69.59%,"196,910.2",
43,Umbramist,89384589$1.61%89.38m,653,31,90,630731,
