Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,
24,Djbuttblastr,232668855$5.52%232.67m,638,19,90,993967,
20,Djbuttblastr,1763523928$5.11%1.76b,646,18,99.58%,"1,222,643.5",
