Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,
10,Nitroburger,154872052$3.37%154.87m,631,19,90,662622,
28,Nitroburger,214874967$5.09%214.87m,638,27,90,925139,
26,Nitroburger,1878160758$5.44%1.88b,-,18,93.97%,"1,302,120.8",
