Parse %,Name,Amount,Overheal,Ilvl,Ilvl %,Active,HPS,
25,Rippermcgoo,18185847$1.22%18.19m,0,631,33,90,73146,
53,Rippermcgoo,62564292$1.72%62.56m,0,639,57,90,118063,
40,Rippermcgoo,188746924$1.51%188.75m,28.26%,650,41,92.44%,"130,857.4",
