Parse %,Name,Amount,Overheal,Ilvl,Ilvl %,Active,HPS,
48,Thilinox,253432922$16.97%253.43m,0,624,62,90,874141,
69,Thilinox,39838207$1.10%39.84m,0,643,74,90,74145,
