Parse %,Name,Amount,Overheal,Ilvl,Ilvl %,Active,HPS,
59,Chimes,183782448$12.31%183.78m,0,627,71,90,1008531,
81,Chimes,531103402$14.64%531.10m,0,637,84,90,1303709,
