Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,
83,Chimes,243745730$0.59%243.75m,618,86,72.67%,"116,192.0",
80,Chimes,116667327$0.88%116.67m,621,84,82.75%,"135,881.8",
