"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"91","Toshunt","1140625936$9.84%1.14b","669","51*","99.77%","2,426,812.1",""
"75","Jëongyeon","1028147448$8.87%1.03b","662","85","99.68%","2,187,501.2",""
"72","Rippermcgoo","1018425459$8.79%1.02b","666","48","99.44%","2,166,816.6",""
"64","Fyaball","984782297$8.49%984.78m","667","36","99.63%","2,095,236.9",""
"74","Illing","974592077$8.41%974.59m","667","46","99.66%","2,073,556.0",""
"65","Drbuttpus","962226424$8.30%962.23m","663","54","99.86%","2,047,246.7",""
"33","Blardy","836365755$7.21%836.37m","652","62","99.48%","1,779,463.7",""
"33","Aingg","801373884$6.91%801.37m","658","35","99.81%","1,705,014.5",""
"40","Chuckleduck","755112112$6.51%755.11m","655","43","99.78%","1,606,587.3",""
"25","Doomslugg","752523047$6.49%752.52m","651","37","99.86%","1,601,078.8",""
"23","Biglick","679496966$5.86%679.50m","661","18","86.00%","1,445,707.5",""
"17","Nitroburger","537931059$4.64%537.93m","657","12","83.58%","1,144,509.8",""
"78","Nixis","456415085$3.94%456.42m","666","43","99.81%","971,075.3",""
"34","Kornbreadd","414149734$3.57%414.15m","660","24","99.82%","881,150.9",""
"16","Acupuncher","119102676$1.03%119.10m","667","6","79.08%","253,404.6",""
"39","Chimes","45797351$0.40%45.80m","667","33","54.94%","97,439.1",""
"-","Giga Controls","32320856$0.28%32.32m","-","-","0.00%","68,766.3",""
"39","Therzsham","27369588$0.24%27.37m","663","35","37.64%","58,231.9",""
"35","Kratik","23475809$0.20%23.48m","666","30","53.98%","49,947.5",""
"-","Bear","2326991$0.02%2.33m","-","-","0.00%","4,950.9",""
