"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Toshunt","4207908155$11.55%4.21b","665","38","91.13%","2,063,875.7",""
"64","Fyaball","3997565056$10.97%4.00b","663","31","97.48%","1,960,707.5",""
"49","Jëongyeon","3612176552$9.91%3.61b","657","40","88.83%","1,771,683.9",""
"68","Illing","3323239598$9.12%3.32b","660","34","92.01%","1,629,967.5",""
"40","Aingg","3253120793$8.93%3.25b","656","37","86.59%","1,595,575.9",""
"30","Therzsham","2851627882$7.82%2.85b","655","22","96.18%","1,398,653.5",""
"32","Biglick","2625192164$7.20%2.63b","656","31","83.39%","1,287,592.3",""
"16","Doomslugg","2167978775$5.95%2.17b","643","33","76.34%","1,063,340.4",""
"23","Umbramist","2121852779$5.82%2.12b","655","17","68.71%","1,040,716.7",""
"76","Nixis","1893363300$5.20%1.89b","664","36","96.54%","928,648.2",""
"-","Rolling Rubbish","1586974099$4.35%1.59b","-","-","1.49%","778,371.8",""
"8","Nitrotaco","1115126803$3.06%1.12b","640","12","60.71%","546,942.3",""
"34","Kornbreadd","1001648629$2.75%1.00b","654","27","58.40%","491,284.1",""
"19","Nitroburger","851384296$2.34%851.38m","655","17","30.49%","417,583.1",""
"33","Acupuncher","667885740$1.83%667.89m","665","15","88.42%","327,581.6",""
"63","Chimes","285901420$0.78%285.90m","663","51","67.42%","140,227.6",""
"50","Kratik","189102708$0.52%189.10m","662","48","57.54%","92,750.2",""
"-","Bear","15787327$0.04%15.79m","-","-","0.71%","7,743.3",""
