"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"88","Toshunt","2414934270$6.40%2.41b","622","75","98.49%","1,112,545.8",""
"65","Jëongyeon","2091245047$5.54%2.09b","617","54","98.85%","963,424.1",""
"64","Illing","2073483431$5.49%2.07b","-","39","98.28%","955,241.5",""
"69","Rippermcgoo","2041328733$5.41%2.04b","616","74","99.15%","940,428.0",""
"56","Fiernastraza","2026566646$5.37%2.03b","613","69","98.16%","933,627.2",""
"77","Zenatreshan","1991349953$5.28%1.99b","617","66","99.00%","917,403.1",""
"53","Luciá","1943541945$5.15%1.94b","-","70","99.47%","895,378.2",""
"49","Crusados","1894851633$5.02%1.89b","612","62","98.91%","872,946.9",""
"44","Piron","1811257805$4.80%1.81b","-","72","96.18%","834,435.7",""
"49","Kiikah","1742904099$4.62%1.74b","617","32","89.39%","802,945.5",""
"55","Kornflakz","1722061835$4.56%1.72b","-","51","96.36%","793,343.6",""
"43","Whatthemonke","1718345179$4.55%1.72b","613","48","92.92%","791,631.4",""
"35","Lorethian","1695470356$4.49%1.70b","617","15","98.50%","781,093.1",""
"32","Kalatheia","1694965512$4.49%1.69b","-","26","99.45%","780,860.5",""
"39","Mickdundey","1616660338$4.28%1.62b","616","30","98.65%","744,785.8",""
"31","Chuckleduck","1511445858$4.00%1.51b","611","29","98.49%","696,314.1",""
"39","Shadiaw","1429787245$3.79%1.43b","-","43","78.44%","658,694.5",""
"18","Deathpocketz","1325011374$3.51%1.33b","611","12","98.59%","610,424.8",""
"9","Rasmog","1175525028$3.11%1.18b","-","9","93.63%","541,557.4",""
"54","Froginasock","1159329085$3.07%1.16b","617","33","59.68%","534,096.0",""
"72","Ampox","1063187169$2.82%1.06b","616","75","99.10%","489,804.0",""
"12","Drazdh","499713251$1.32%499.71m","-","40","45.29%","230,214.9",""
"6","Therzdk","386046490$1.02%386.05m","605","7","84.38%","177,849.3",""
"88","Thilinox","230137942$0.61%230.14m","619","84","98.34%","106,023.2",""
"61","Bababryn","200528509$0.53%200.53m","615","65","87.05%","92,382.3",""
"59","Vulperiest","164995892$0.44%165.00m","-","60","68.31%","76,012.6",""
"29","Buurny","91294967$0.24%91.29m","612","28","87.98%","42,059.0",""
"22","Kratik","26923752$0.07%26.92m","616","25","23.00%","12,403.6",""
