"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Toshunt","1125994848$8.53%1.13b","629","53","94.43%","1,311,440.4",""
"62","Illing","1040617372$7.88%1.04b","623","51","97.67%","1,212,001.7",""
"64","Rippermcgoo","972046213$7.36%972.05m","622","78","96.06%","1,132,137.2",""
"49","Piron","904111205$6.85%904.11m","616","84","99.05%","1,053,013.7",""
"46","Lorethian","873099263$6.61%873.10m","626","21","97.87%","1,016,894.2",""
"46","Whatthemonke","855121251$6.48%855.12m","620","39","94.02%","995,955.3",""
"41","Fiernastraza","838682736$6.35%838.68m","617","58","95.74%","976,809.5",""
"54","Kornflakz","837422375$6.34%837.42m","619","76","93.91%","975,341.5",""
"51","Therzsham","816472913$6.18%816.47m","622","51","94.10%","950,941.8",""
"39","Jëongyeon","804357203$6.09%804.36m","620","48","77.61%","936,830.7",""
"39","Deathpocketz","761494912$5.77%761.49m","625","21","95.47%","886,909.2",""
"16","Rasmog","555506939$4.21%555.51m","616","23","95.88%","646,996.1",""
"25","Gadzoonia","499261426$3.78%499.26m","613","41","72.09%","581,487.2",""
"56","Drbuttpus","471281244$3.57%471.28m","621","63","44.96%","548,898.8",""
"62","Ampox","460504561$3.49%460.50m","619","84","97.84%","536,347.3",""
"32","Bababryn","392356297$2.97%392.36m","-","34","89.10%","456,975.4",""
"24","Drazdh","347163278$2.63%347.16m","619","30","44.20%","404,339.3",""
"23","Boomslugg","314360827$2.38%314.36m","617","24","99.26%","366,134.4",""
"49","Rikoswauvey","135324023$1.02%135.32m","611","61","71.57%","157,611.2",""
"80","Chimes","116667327$0.88%116.67m","621","84","82.75%","135,881.8",""
"29","Buurny","43996240$0.33%44.00m","615","39","74.86%","51,242.2",""
"35","Kratik","38288326$0.29%38.29m","622","38","42.76%","44,594.2",""
