"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"83","Toshunt","2527849859$6.13%2.53b","-","76","99.26%","1,205,009.6",""
"68","Illing","2241850756$5.43%2.24b","622","67","98.01%","1,068,675.7",""
"69","Jëongyeon","2198593541$5.33%2.20b","618","86","98.97%","1,048,055.3",""
"53","Fiernastraza","2117474539$5.13%2.12b","-","82","98.33%","1,009,386.4",""
"49","Luciá","2044923472$4.96%2.04b","-","77","98.58%","974,801.7",""
"50","Whatthemonke","1999490083$4.85%2.00b","615","76","97.89%","953,143.9",""
"70","Zenatreshan","1985863428$4.81%1.99b","-","70","98.74%","946,648.2",""
"51","Kiikah","1949788659$4.73%1.95b","620","41","98.90%","929,451.6",""
"43","Lorethian","1937374166$4.70%1.94b","621","29","98.56%","923,533.7",""
"35","Crusados","1806949905$4.38%1.81b","617","40","98.92%","861,361.3",""
"38","Kamalabiden","1770009338$4.29%1.77b","-","73","98.66%","843,751.9",""
"36","Deathpocketz","1646483817$3.99%1.65b","620","24","96.59%","784,868.1",""
"38","Chuckleduck","1645503015$3.99%1.65b","613","67","98.56%","784,400.6",""
"34","Kornflakz","1439990717$3.49%1.44b","616","51","89.09%","686,434.2",""
"55","Froginasock","1374628952$3.33%1.37b","619","68","65.40%","655,276.7",""
"15","Rasmog","1331899921$3.23%1.33b","-","22","97.55%","634,908.0",""
"41","Shadiaw","1297145549$3.14%1.30b","615","63","74.97%","618,340.9",""
"55","Piron","1293006161$3.13%1.29b","614","79","61.39%","616,367.6",""
"25","Äthereal","1288575131$3.12%1.29b","613","47","79.33%","614,255.4",""
"20","Skelliona","1256582786$3.05%1.26b","609","50","86.18%","599,004.8",""
"43","Rippermcgoo","1063342899$2.58%1.06b","617","53","45.40%","506,888.6",""
"73","Ampox","1048762855$2.54%1.05b","618","87","98.41%","499,938.4",""
"11","Therzsham","1016221705$2.46%1.02b","-","5","98.49%","484,426.3",""
"51","Bababryn","711067977$1.72%711.07m","-","57","91.57%","338,961.5",""
"38","Coors","679887229$1.65%679.89m","614","58","43.14%","324,097.8",""
"11","Boomslugg","657186594$1.59%657.19m","-","15","97.93%","313,276.6",""
"83","Chimes","243745730$0.59%243.75m","618","86","72.67%","116,192.0",""
"89","Thilinox","240393000$0.58%240.39m","620","88","98.66%","114,593.8",""
"41","Kalatheia","169467590$0.41%169.47m","616","59","10.83%","80,784.1",""
"41","Adadikyum","148238330$0.36%148.24m","-","55","53.66%","70,664.2",""
"45","Buurny","113294298$0.27%113.29m","-","52","86.56%","54,006.7",""
"28","Kratik","15493303$0.04%15.49m","619","28","10.67%","7,385.6",""
