"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"64","Illing","384952601$9.12%384.95m","645","57","90","1415579",""
"88","Toshunt","328521671$7.79%328.52m","650","64","90","1614427",""
"79","Froginasock","321148690$7.61%321.15m","636","90","90","1624861",""
"70","Rippermcgoo","313046355$7.42%313.05m","639","79","90","1591491",""
"54","Jekter","288884266$6.85%288.88m","639","47","90","1304469",""
"48","Thilinox","243606511$5.77%243.61m","643","35","90","1186292",""
"51","Chuckleduck","238280871$5.65%238.28m","637","49","90","1151935",""
"39","Litlam","235949479$5.59%235.95m","642","31","90","1277636",""
"24","Djbuttblastr","232668855$5.52%232.67m","638","19","90","993967",""
"27","Aingg","230790163$5.47%230.79m","638","26","90","1028672",""
"28","Nitroburger","214874967$5.09%214.87m","638","27","90","925139",""
"11","Kusri","188548350$4.47%188.55m","635","16","90","773487",""
"26","Biglick","186923349$4.43%186.92m","639","21","90","951142",""
"8","Quarm","167546970$3.97%167.55m","636","6","90","716027",""
"12","Ampok","150758932$3.57%150.76m","625","24","90","687318",""
"54","Nixis","148468275$3.52%148.47m","648","31","90","600391",""
"15","Therzdk","112547441$2.67%112.55m","624","29","90","437773",""
"1","Rawbdog","73786948$1.75%73.79m","621","4","90","309973",""
"46","Acupuncher","48111544$1.14%48.11m","652","18","90","299514",""
"35","Umbramist","44675387$1.06%44.68m","642","29","90","264501",""
"61","Chimes","24824483$0.59%24.82m","637","64","90","112219",""
"43","Shiversting","24504631$0.58%24.50m","637","39","90","981047",""
"25","Kratik","15262646$0.36%15.26m","640","27","90","52711",""
