"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"73","Rippermcgoo","2636436086$7.63%2.64b","650","70","94.08%","1,827,829.8",""
"82","Illing","2633607020$7.62%2.63b","655","51","96.15%","1,825,868.4",""
"81","Toshunt","2408678950$6.97%2.41b","656","61","98.70%","1,669,926.7",""
"59","Jekter","2364990836$6.85%2.36b","648","50","99.71%","1,639,638.0",""
"57","Froginasock","2351137585$6.81%2.35b","650","53","80.57%","1,630,033.6",""
"46","Litlam","2271649474$6.58%2.27b","655","18","90.62%","1,574,924.8",""
"-","Rolling Rubbish","2196242821$6.36%2.20b","-","-","1.56%","1,522,645.7",""
"26","Nitroburger","1878160758$5.44%1.88b","-","18","93.97%","1,302,120.8",""
"20","Djbuttblastr","1763523928$5.11%1.76b","646","18","99.58%","1,222,643.5",""
"23","Drazdh","1749481105$5.06%1.75b","-","17","82.79%","1,212,907.7",""
"32","Shiversting","1731682478$5.01%1.73b","648","22","92.22%","1,200,568.0",""
"23","Chuckleduck","1580955292$4.58%1.58b","640","21","89.32%","1,096,069.5",""
"19","Biglick","1555604168$4.50%1.56b","649","14","99.46%","1,078,493.7",""
"13","Therzsham","1437634378$4.16%1.44b","-","17","95.79%","996,705.7",""
"73","Nixis","1125020561$3.26%1.13b","655","52","94.96%","779,971.9",""
"-","Geargrinder Biker","1033415448$2.99%1.03b","-","-","2.01%","716,462.5",""
"21","Kamalabiden","999069539$2.89%999.07m","630","58","68.11%","692,650.6",""
"18","Kornbreadd","880247975$2.55%880.25m","648","10","93.87%","610,272.1",""
"5","Quarm","649253435$1.88%649.25m","644","5","57.53%","450,124.6",""
"32","Acupuncher","396443858$1.15%396.44m","656","15","68.01%","274,852.8",""
"25","Aingg","340381438$0.99%340.38m","643","31","23.47%","235,985.0",""
"13","Umbramist","284020482$0.82%284.02m","647","12","69.59%","196,910.2",""
"40","Chimes","163075994$0.47%163.08m","653","36","51.90%","113,059.9",""
"40","Kratik","102936803$0.30%102.94m","-","38","54.46%","71,365.6",""
"-","Akaari's Soul","7167178$0.02%7.17m","-","-","0.00%","4,969.0",""
"-","Bear","336794$0.00%336.8k","-","-","0.00%","233.5",""
"-","Environment","270116$0.00%270.1k","-","-","0.00%","187.3",""
