"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"80","Toshunt","1592176932$5.97%1.59b","606","86","96.57%","847,250.5",""
"70","Illing","1440275996$5.40%1.44b","603","80","96.30%","766,419.0",""
"71","Rippermcgoo","1420244153$5.33%1.42b","-","86","97.41%","755,759.4",""
"72","Rengos","1415954956$5.31%1.42b","605","73","93.60%","753,476.9",""
"71","Kornflakz","1313430606$4.93%1.31b","-","85","95.89%","698,920.3",""
"52","Jëongyeon","1258771807$4.72%1.26b","600","63","98.14%","669,834.5",""
"48","Whatthemonke","1251553673$4.70%1.25b","-","70","96.60%","665,993.5",""
"56","Luciá","1199711071$4.50%1.20b","-","80","87.14%","638,406.3",""
"56","Froginasock","1193935568$4.48%1.19b","600","75","97.65%","635,333.0",""
"45","Shadiaw","1155489712$4.34%1.16b","598","68","97.28%","614,874.7",""
"41","Fiernastraza","1146508749$4.30%1.15b","596","59","93.87%","610,095.6",""
"43","Djbuttblastr","1143400942$4.29%1.14b","600","48","97.21%","608,441.8",""
"37","Chuckleduck","1011412651$3.80%1.01b","-","45","95.35%","538,206.5",""
"27","Crusados","997489915$3.74%997.49m","585","63","95.32%","530,797.7",""
"43","Piron","991690161$3.72%991.69m","590","85","79.77%","527,711.5",""
"32","Blardy","988076119$3.71%988.08m","-","70","95.72%","525,788.3",""
"22","Snognazzy","969856432$3.64%969.86m","-","28","92.36%","516,093.0",""
"23","Gadzoonia","919612877$3.45%919.61m","595","36","97.10%","489,356.7",""
"23","Whabby","914767678$3.43%914.77m","596","32","95.33%","486,778.4",""
"19","Rasmog","856038926$3.21%856.04m","597","24","90.90%","455,526.9",""
"18","Rdzx","820383666$3.08%820.38m","602","15","92.39%","436,553.6",""
"71","Ampox","698309814$2.62%698.31m","-","82","96.96%","371,594.0",""
"27","Therzsham","580179076$2.18%580.18m","-","38","67.65%","308,732.7",""
"35","Boomslugg","489277552$1.84%489.28m","596","53","95.19%","260,360.9",""
"46","Zenatreshan","374497980$1.41%374.50m","586","81","35.57%","199,282.9",""
"59","Bababryn","155483037$0.58%155.48m","603","62","83.77%","82,737.7",""
"60","Vulperiest","136003380$0.51%136.00m","-","68","60.30%","72,371.9",""
"71","Thilinox","112931199$0.42%112.93m","-","77","93.66%","60,094.5",""
"28","Buurny","52932155$0.20%52.93m","-","40","75.34%","28,167.0",""
"40","Kratik","50049584$0.19%50.05m","600","45","19.22%","26,633.1",""
