"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"76","Toshunt","4802280535$12.44%4.80b","-","45","98.07%","2,138,964.2",""
"55","Fyaball","4300919637$11.14%4.30b","665","34","96.98%","1,915,655.1",""
"59","Rippermcgoo","4274713330$11.07%4.27b","664","36","94.13%","1,903,982.7",""
"29","Blardy","3322938646$8.61%3.32b","637","85","98.65%","1,480,056.6",""
"36","Chuckleduck","3152983981$8.17%3.15b","652","41","96.33%","1,404,357.8",""
"38","Biglick","3034966290$7.86%3.03b","660","30","81.91%","1,351,792.0",""
"32","Lorethian","2803972751$7.26%2.80b","655","39","81.68%","1,248,906.1",""
"16","Doomslugg","2387798526$6.18%2.39b","-","31","69.95%","1,063,539.6",""
"24","Kornbreadd","1606101289$4.16%1.61b","-","21","96.57%","715,367.0",""
"76","Froginasock","1428431194$3.70%1.43b","663","63","30.80%","636,231.7",""
"-","Rolling Rubbish","1247305701$3.23%1.25b","-","-","0.89%","555,557.4",""
"13","Therzdk","1166376524$3.02%1.17b","-","14","94.73%","519,511.0",""
"13","Nitroburger","1035974488$2.68%1.04b","-","12","31.28%","461,429.2",""
"5","Nitrotaco","862187988$2.23%862.19m","644","9","41.59%","384,023.6",""
"89","Illing","813894654$2.11%813.89m","665","89","15.97%","362,513.5",""
"51","Litlam","621441086$1.61%621.44m","665","28","15.99%","276,793.5",""
"-","Geargrinder Biker","582091584$1.51%582.09m","-","-","0.71%","259,267.0",""
"25","Jëongyeon","545789207$1.41%545.79m","658","24","13.52%","243,097.7",""
"62","Chimes","303031704$0.78%303.03m","665","54","68.63%","134,972.1",""
"50","Kratik","216651206$0.56%216.65m","664","47","58.62%","96,497.7",""
"21","Acupuncher","98558757$0.26%98.56m","666","11","13.70%","43,898.7",""
"-","Environment","439246$0.00%439.2k","-","-","0.00%","195.6",""
