"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"79","Toshunt","1963614694$6.32%1.96b","613","81","91.72%","880,945.3",""
"49","Crusados","1623164094$5.22%1.62b","606","67","91.37%","728,207.4",""
"52","Luciá","1586590648$5.11%1.59b","-","71","83.45%","711,799.3",""
"55","Jëongyeon","1558139773$5.02%1.56b","607","76","89.81%","699,035.2",""
"58","Rengos","1557971189$5.01%1.56b","611","54","85.15%","698,959.6",""
"53","Fiernastraza","1549994433$4.99%1.55b","606","67","92.69%","695,381.0",""
"53","Blardy","1518972521$4.89%1.52b","-","84","96.10%","681,463.5",""
"44","Lorethian","1514146713$4.87%1.51b","608","44","95.59%","679,298.4",""
"51","Illing","1473793376$4.74%1.47b","610","54","75.34%","661,194.5",""
"58","Piron","1434142944$4.62%1.43b","-","86","81.42%","643,406.0",""
"44","Shadiaw","1417127577$4.56%1.42b","-","62","91.66%","635,772.3",""
"50","Rippermcgoo","1411154669$4.54%1.41b","605","57","78.52%","633,092.7",""
"38","Whatthemonke","1389462767$4.47%1.39b","-","40","89.13%","623,360.9",""
"47","Zenatreshan","1283600219$4.13%1.28b","-","59","87.52%","575,867.3",""
"32","Rdzx","1223566929$3.94%1.22b","606","34","82.08%","548,934.3",""
"52","Froginasock","1213191277$3.90%1.21b","607","60","64.83%","544,279.5",""
"29","Gadzoonia","1164709005$3.75%1.16b","605","29","95.80%","522,528.6",""
"29","Therzsham","1120456703$3.61%1.12b","606","29","95.28%","502,675.5",""
"34","Chuckleduck","1093249379$3.52%1.09b","607","36","76.60%","490,469.4",""
"12","Rasmog","977978898$3.15%977.98m","601","18","85.78%","438,755.1",""
"15","Snognazzy","955286317$3.07%955.29m","-","18","87.49%","428,574.4",""
"66","Ampox","871768307$2.81%871.77m","610","71","96.35%","391,105.3",""
"21","Boomslugg","564518712$1.82%564.52m","-","27","95.42%","253,262.6",""
"62","Bababryn","195660176$0.63%195.66m","608","67","84.85%","87,779.9",""
"73","Thilinox","150497346$0.48%150.50m","607","78","95.68%","67,518.3",""
"47","Vulperiest","133910575$0.43%133.91m","606","57","52.25%","60,076.9",""
"24","Buurny","65965932$0.21%65.97m","-","24","78.00%","29,594.6",""
"34","Kratik","56318428$0.18%56.32m","-","39","30.79%","25,266.4",""
